trading_dt,gold_last_month,plat_last_month,mkt_rf,mkt_rf_3,mkt_rf_12,vix
1985-06-30,316.395,272.2,0.012806783464707427,-0.0015881859398659086,0.021161941408374112,NA
1985-07-31,316.298,271.6,-0.007425853036879704,-0.020954155887428032,0.02095230351965092,NA
1985-08-31,317.202,251.2,-0.01014548824742545,-0.005084178299939494,0.016189313674883504,NA
1985-09-30,330.131,279.7,-0.04529112637797894,0.019933312547223785,0.02209078853854381,NA
1985-10-31,323.764,314.4,0.04018407972558591,0.047954460438861535,0.018716642337076678,NA
1985-11-30,326.093,312.9,0.06490698429406438,0.03680821031535242,0.019251749172858167,NA
1985-12-31,325.548,327.7,0.03877231729693431,0.03896157639277834,0.01482495739212313,NA
1986-01-31,321.985,351.2,0.00674532935505856,0.042299399529444726,0.008853625245405635,NA
1986-02-28,345.561,347,0.07136708252634216,0.03567831424700396,0.01867677574654984,NA
1986-03-31,339.053,356,0.048785786706933454,0.027341062633360225,0.0164116299123586,NA
1986-04-30,346.095,401,-0.013117926492263732,0.014509509997725453,0.013686341445915073,NA
1986-05-31,340.716,401.8,0.04635532768541095,-0.0026450915628828766,0.01303388500609611,NA
1986-06-30,342.325,406.3,0.010291128800029137,0.0021272025808128925,0.0092706935511405,NA
1986-07-31,342.798,422.6,-0.06458173117408872,-0.029896800617725,0.011652045633553895,NA
1986-08-31,348.554,424.8,0.06067221011649826,0.007165563691959161,0.02022537346572272,NA
1986-09-30,376.29,471.9,-0.08578088079558455,-0.009130012038458942,0.018091579853480578,NA
1986-10-31,418.152,651.3,0.04660536175496377,0.008502392072177364,0.02305922148888585,NA
1986-11-30,423.863,561.3,0.01178548292524395,0.034508316610119105,-2.0341132485885796e-4,NA
1986-12-31,396.983,575.7,-0.03288366846367563,0.045308266473720216,-0.007655551185112723,NA
1987-01-31,391.595,491.8,0.124623135368789,0.06163026433148248,7.574025148367006e-4,NA
1987-02-28,408.524,477.4,0.04418533251604728,0.013106751285189048,-0.006106511830787059,NA
1987-03-31,401.045,522,0.016082325109611162,-0.0012226828115121657,-0.005792357561700111,NA
1987-04-30,408.848,522.6,-0.0209474037700913,0.006372326748280736,-0.009004549516400886,NA
1987-05-31,439.665,565.6,0.0011970302259436405,0.026120862275623564,-0.006776332576928075,NA
1987-06-30,461.65,611.5,0.03886735378898987,0.037410747790173206,-0.007106615295926784,NA
1987-07-31,449.282,570.5,0.03829820281193719,0.015731902803602815,-0.006378001408308335,NA
1987-08-31,450.33,565.6,0.03506668676959257,-0.07454957547036715,-0.010608476590791274,NA
1987-09-30,460.988,634.6,-0.026169181170721312,-0.11211853619283214,-0.016294413487256937,NA
1987-10-31,460.12,599.9,-0.2325462320099727,-0.08070488382401923,-0.011352929998757255,NA
1987-11-30,465.764,575.1,-0.07764019539780243,0.0108959145864063,0.008993174716348695,NA
1987-12-31,468.14,530.4,0.06807177593571745,0.052761040967370665,0.01358058729943401,NA
1988-01-31,487.079,517.4,0.04225616322130388,0.022582456206532136,0.009150502113990136,NA
1988-02-29,477.758,502.5,0.04795518374509067,0.010427468300624984,0.01070701506919384,NA
1988-03-31,442.124,460.9,-0.02246397834679814,-0.006479713748418862,0.004844031427224264,NA
1988-04-30,443.491,474.7,0.005791199503582423,0.016878519180650937,0.008009616045114742,NA
1988-05-31,451.558,547.5,-0.0027663624020408673,0.010792286220170774,0.011116426162064411,NA
1988-06-30,451.32,518.5,0.04761072044041126,6.595550248525983e-4,0.014132936350440809,NA
1988-07-31,451.657,622.9,-0.012467499377858071,-0.004167811558192865,0.009027521963199411,NA
1988-08-31,437.452,568.2,-0.03316455598799539,0.003857029758192724,0.016054850779899016,NA
1988-09-30,431.064,533.1,0.03312862069127487,0.007381466953931641,0.020039183900170444,NA
1988-10-31,413.439,531.4,0.011607024571298696,0.0013088446269703402,0.016651415670014925,NA
1988-11-30,406.39,505.4,-0.022591244400778643,0.01775127599778688,0.01263759359995878,NA
1988-12-31,419.966,563.2,0.014910753710390967,0.01781481747853168,0.015353259349060547,NA
1989-01-31,419.248,600.9,0.06093431868374832,0.018018911931030557,0.015081662003795812,NA
1989-02-28,404.445,527.2,-0.022400619958544254,0.012065112672107267,0.0034705946437365207,NA
1989-03-31,387.973,526.1,0.015523037067887602,0.03067590594444732,0.0062730977248644515,NA
1989-04-30,390.274,531.1,0.04307292090697845,0.02095014285298961,0.006486958941411399,NA
1989-05-31,384.72,530.7,0.03343175985847591,0.030545984691509192,9.224923103282971e-5,NA
1989-06-30,371.35,537.3,-0.013654252206485529,0.02428454522377114,0.004364478289182776,NA
1989-07-31,367.727,499.8,0.0718604464225372,0.026327763269069198,0.0045924698995070306,NA
1989-08-31,375.21,517,0.014647441455261756,-0.009811998961568221,-0.0029852719137407244,NA
1989-09-30,365.548,504.7,-0.0075245980705913595,-0.011362231250507948,-0.012654197977073936,NA
1989-10-31,361.798,475.4,-0.03655884026937506,-0.004970170037906119,-0.01713735617043181,NA
1989-11-30,366.8,500.5,0.009996744588442574,-0.018916719827102153,-0.01567438513245571,NA
1989-12-31,394.361,492.6,0.011651585567214129,-0.018505829018252706,-0.011213148867531756,NA
1990-01-31,409.655,520.7,-0.07839848963696316,-0.016359900318507092,-0.010135067354390773,NA
1990-02-28,410.118,482.2,0.011229417014990917,-0.0014482689787074972,3.1370387759020274e-4,NA
1990-03-31,416.543,517.4,0.01808937166645097,0.023041428201720615,0.005372438915388393,NA
1990-04-30,393.661,508,-0.03366359561756438,0.013372186685372137,0.006069387105316367,NA
1990-05-31,374.929,478.1,0.08469850855627525,0.018235900112414976,0.008655475401609103,NA
1990-06-30,368.855,479.7,-0.010918352882594462,-0.043790159841255706,0.004651583685883161,NA
1990-07-31,352.657,488,-0.019072455336435867,-0.060591541010686166,0.0014349663861094504,NA
1990-08-31,361.82,494.5,-0.1013796713047368,-0.06056845183642815,0.006560045003648994,NA
1990-09-30,394.861,492.2,-0.06132249639088583,-0.005598034812339225,0.01696460413041333,NA
1990-10-31,389.56,486.4,-0.019003187813661837,0.023038985226258024,0.02076815938374264,NA
1990-11-30,381.333,432.6,0.06353157976752999,0.04503563621308149,0.023412629914546474,NA
1990-12-31,381.866,435.7,0.02458856372490592,0.04783652211342789,0.014600418731141854,NA
1991-01-31,378.161,420.6,0.04698676514680855,0.04845791752032147,0.021625349670836107,NA
1991-02-28,384.591,413.5,0.0719342374685692,0.031918817117368103,0.017224053945181405,NA
1991-03-31,363.748,387.1,0.026452749945586662,0.02015800728369969,0.012127284752551398,NA
1991-04-30,363.39,406.4,-0.0026305360620515472,-0.005165496191455528,0.007700949627786363,NA
1991-05-31,358.055,397.1,0.036651807967563954,0.009854178520574538,0.008816957160533073,NA
